timestamp,value_0,value_1,value_2
1766162789243,0.49395,0.31095,10.6039505
1766162789243,0.37395,0.37395,10.467001
1766162789243,0.264,0.43395,10.386001
1766162789243,0.20205002,0.46500003,10.324051
1766162789243,0.16605,0.49800003,10.23495
1766162789243,0.171,0.51000005,10.1629505
1766162789244,0.192,0.49800003,10.10805
1766162789247,0.27405003,0.48600003,10.06005
1766162789249,0.36495003,0.46995002,10.041
1766162789259,0.492,0.43605003,9.993
1766162789259,0.62295,0.39105,9.98805
1766162789259,0.77205,0.36195,9.993
1766162789260,0.87900007,0.32805002,9.93105
1766162789262,0.91305006,0.28800002,9.837001
1766162789264,0.81705004,0.26805001,9.732
1766162789267,0.726,0.33495003,9.655951
1766162789283,0.64005005,0.402,9.639001
1766162789283,0.59205,0.47895002,9.624001
1766162789283,0.56595004,0.549,9.604951
1766162789283,0.56595004,0.582,9.627001
1766162789283,0.56595004,0.58005005,9.670051
1766162789283,0.58305,0.60405004,9.739051
1766162789285,0.62100005,0.60405004,9.84
1766162789287,0.669,0.60105,9.94305
1766162789290,0.68100005,0.56805,10.021951
1766162789303,0.72900003,0.55095005,10.066951
1766162789303,0.78795004,0.513,10.066951
1766162789303,0.83100003,0.49605003,9.991051
1766162789303,0.82695,0.48900002,9.864
1766162789303,0.81000006,0.49800003,9.7560005
1766162789384,0.78405005,0.52695,9.62895
1766162789384,0.76395005,0.53895,9.507001
1766162789384,0.75000006,0.54405004,9.403951
1766162789384,0.72900003,0.56505,9.31095
1766162789384,0.72405005,0.58695,9.2029505
1766162789384,0.69495004,0.62805,9.14595
1766162789384,0.68100005,0.66795003,9.106951
1766162789384,0.66405004,0.67800003,9.114
1766162789384,0.633,0.675,9.12195
1766162789384,0.59895,0.68295,9.16005
1766162789384,0.57495004,0.65400004,9.213
1766162789384,0.55905,0.62295,9.249001
1766162789384,0.58005005,0.58695,9.259951
1766162789384,0.61395,0.56505,9.283951
1766162789385,0.64500004,0.53895,9.318001
1766162789385,0.68295,0.50505,9.382951
1766162789385,0.68100005,0.48405004,9.459001
1766162789385,0.67800003,0.47400004,9.568951
1766162789385,0.64995,0.441,9.639001
1766162789385,0.62595004,0.43095002,9.715051
1766162789385,0.64005005,0.40995002,9.826051
1766162789385,0.657,0.38295,9.90705
1766162789385,0.64005005,0.35205,9.96
1766162789385,0.64005005,0.34305,10.030951
1766162789385,0.609,0.32595003,10.08195
1766162789385,0.606,0.29505002,10.110001
1766162789385,0.59205,0.28500003,10.10805
1766162789385,0.58305,0.29505002,10.089001
1766162789385,0.54705,0.31095,10.12695
1766162789385,0.51105005,0.32295,10.11495
1766162789385,0.49605003,0.34995002,10.098001
1766162789385,0.49905002,0.37395,10.05105
1766162789385,0.50295,0.381,10.017
1766162789400,0.51105005,0.41400003,9.948001
1766162789400,0.56805,0.45495003,9.883051
1766162789400,0.60405004,0.49800003,9.826051
1766162789400,0.61800003,0.52005005,9.79695
1766162789400,0.65895003,0.57495004,9.75105
1766162789400,0.69495004,0.59400004,9.72
1766162789402,0.726,0.62505,9.73005
1766162789426,0.75000006,0.63495004,9.715051
1766162789426,0.75705004,0.651,9.663
1766162789426,0.79800004,0.651,9.60795
1766162789426,0.82395005,0.64005005,9.568951
1766162789426,0.83100003,0.62295,9.531
1766162789426,0.81705004,0.61305004,9.505051
1766162789426,0.77400005,0.62295,9.474
1766162789426,0.702,0.60405004,9.44205
1766162789426,0.63495004,0.59205,9.450001
1766162789427,0.55605,0.59205,9.486
1766162789429,0.46800002,0.59205,9.493051
1766162789432,0.40500003,0.582,9.53295
1766162789434,0.36195,0.558,9.58605
1766162789437,0.36900002,0.51705,9.63405
1766162789448,0.36,0.51705,9.660001
1766162789448,0.381,0.48600003,9.706051
